layer_name,layer_type,shape,num_params,mean,std,skew,kurtosis,min,max,median,entropy_8bit,entropy_16bit,model
bert.embeddings.word_embeddings.weight,weight,"(30522, 768)",23440896,-0.028025008738040924,0.04266759753227234,0.18783122330096713,1.13901296327637,-0.9503687620162964,0.8728917837142944,-0.0284588560461998,7.197747344586968e-06,7.197747344586968e-06,BERT
bert.embeddings.position_embeddings.weight,weight,"(512, 768)",393216,-3.8782225601607934e-05,0.016068989410996437,-0.6688566210316961,86.62881659529974,-0.949175238609314,0.7258760333061218,-1.8290465959580615e-05,0.00019355926720838982,0.00019355926720838982,BERT
bert.embeddings.token_type_embeddings.weight,weight,"(2, 768)",1536,-0.0009168549440801144,0.03361211717128754,-11.638348355260119,232.75550227034864,-0.6951668858528137,0.2983251214027405,0.0003532389528118074,0.020393135236084953,0.020393135236084953,BERT
bert.embeddings.LayerNorm.weight,weight,"(768,)",768,0.8492076396942139,0.1339634358882904,-3.5909234552105262,13.049462319894907,0.0861319899559021,0.9816572666168213,0.882365345954895,0.2951817430907586,0.2951817430907586,BERT
bert.embeddings.LayerNorm.bias,bias,"(768,)",768,-0.019605010747909546,0.0692496970295906,5.004142893927896,57.95399760322453,-0.5533348321914673,0.8019559383392334,-0.024622663855552673,0.0613473375248713,0.0613473375248713,BERT
bert.encoder.layer.0.attention.self.query.weight,weight,"(768, 768)",589824,3.40289952873718e-05,0.04311731085181236,-0.006376828024479516,1.0833598690589046,-0.5219256281852722,0.455132395029068,-4.802398689207621e-05,3.494706695441666e-05,3.494706695441666e-05,BERT
bert.encoder.layer.0.attention.self.query.bias,bias,"(768,)",768,0.006351470947265625,0.2808168828487396,0.07832113745415607,0.4615403984252331,-1.0521379709243774,0.8624487519264221,-0.0005019420059397817,0.4966210762778871,0.4966210762778871,BERT
bert.encoder.layer.0.attention.self.key.weight,weight,"(768, 768)",589824,4.580613676807843e-06,0.04278677701950073,0.03759973597171325,3.226012496138484,-0.7077493667602539,0.8346897959709167,-1.5385074220830575e-05,0.000532308136806815,0.000532308136806815,BERT
bert.encoder.layer.0.attention.self.key.bias,bias,"(768,)",768,-0.00030758563661947846,0.0031856857240200043,-0.226597517906047,0.7861573876260639,-0.01244440022855997,0.010560938157141209,-0.0002272867423016578,-0.0,-0.0,BERT
bert.encoder.layer.0.attention.self.value.weight,weight,"(768, 768)",589824,-3.543588172760792e-05,0.02880210056900978,0.002564906310621115,0.2596271299665318,-0.16318589448928833,0.19305773079395294,-4.797209476237185e-05,-0.0,-0.0,BERT
bert.encoder.layer.0.attention.self.value.bias,bias,"(768,)",768,0.0018660863861441612,0.04062182083725929,0.07312091047016955,5.060751081145051,-0.1783536970615387,0.24993085861206055,0.001340226735919714,-0.0,-0.0,BERT
bert.encoder.layer.0.attention.output.dense.weight,weight,"(768, 768)",589824,-2.0614925233530812e-05,0.02856658771634102,0.016972421230225652,3.1145481168959783,-0.49535760283470154,0.5885314345359802,-5.487442103913054e-05,6.650328774797918e-05,6.650328774797918e-05,BERT
bert.encoder.layer.0.attention.output.dense.bias,bias,"(768,)",768,-0.001118244486860931,0.03547864034771919,-1.476263369887227,10.130332051088093,-0.3075876832008362,0.14903654158115387,0.0005188160575926304,-0.0,-0.0,BERT
bert.encoder.layer.0.attention.output.LayerNorm.weight,weight,"(768,)",768,0.9584595561027527,0.08352832496166229,19.612702593423347,466.90986270652513,0.7135779857635498,2.999448537826538,0.9538843631744385,0.028712961978295287,0.028712961978295287,BERT
bert.encoder.layer.0.attention.output.LayerNorm.bias,bias,"(768,)",768,-0.018170244991779327,0.32898882031440735,-4.388853202139335,43.176178949583765,-4.20503568649292,0.8342607021331787,0.011919677257537842,0.36917801253101334,0.36917801253101334,BERT
bert.encoder.layer.0.intermediate.dense.weight,weight,"(3072, 768)",2359296,-3.0508155759889632e-05,0.03742779418826103,0.012514161782018817,0.22984587861132777,-0.29754430055618286,0.32283324003219604,-8.767491817707196e-05,-0.0,-0.0,BERT
bert.encoder.layer.0.intermediate.dense.bias,bias,"(3072,)",3072,-0.10811755806207657,0.04938067868351936,3.567815573090859,26.426565732841425,-0.35220468044281006,0.4046318233013153,-0.11358475685119629,-0.0,-0.0,BERT
bert.encoder.layer.0.output.dense.weight,weight,"(768, 3072)",2359296,-8.387277921428904e-05,0.03585221245884895,-0.15654160846667023,6.395567188303108,-1.6791671514511108,0.7694130539894104,-0.0001061245784512721,0.00030889225837456183,0.00030889225837456183,BERT
bert.encoder.layer.0.output.dense.bias,bias,"(768,)",768,-0.00205580098554492,0.08018729090690613,-0.6950388780149324,5.161651524009132,-0.5253317356109619,0.33878713846206665,0.0006881913868710399,0.01435770557174226,0.01435770557174226,BERT
bert.encoder.layer.0.output.LayerNorm.weight,weight,"(768,)",768,0.7558571696281433,0.05634686350822449,-5.651570962260967,45.07136678324504,0.10071516782045364,0.8124669790267944,0.7675327062606812,0.07486452394953996,0.07486452394953996,BERT
bert.encoder.layer.0.output.LayerNorm.bias,bias,"(768,)",768,-0.036596525460481644,0.09843680262565613,-2.6276582698043387,38.571606365033865,-1.3248825073242188,0.41827037930488586,-0.039924122393131256,0.01435770557174226,0.01435770557174226,BERT
bert.encoder.layer.1.attention.self.query.weight,weight,"(768, 768)",589824,-0.0002955505915451795,0.042535293847322464,0.005571770652030293,0.4918173577021543,-0.38930732011795044,0.3035992681980133,-0.0003204120439477265,-0.0,-0.0,BERT
bert.encoder.layer.1.attention.self.query.bias,bias,"(768,)",768,0.01577567867934704,0.1805153787136078,0.6465163875997009,5.028673216105526,-0.8807753324508667,0.8889222145080566,-0.0005805957480333745,0.27904367659867224,0.27904367659867224,BERT
bert.encoder.layer.1.attention.self.key.weight,weight,"(768, 768)",589824,2.7676836907630786e-05,0.04252628609538078,0.0041473692167854235,0.6823442466417542,-0.36189356446266174,0.36100324988365173,9.082024189410731e-05,-0.0,-0.0,BERT
bert.encoder.layer.1.attention.self.key.bias,bias,"(768,)",768,6.38568089925684e-05,0.005122543312609196,-0.1878705449281251,3.2642093719264667,-0.028029294684529305,0.022085076197981834,0.00024215882876887918,-0.0,-0.0,BERT
bert.encoder.layer.1.attention.self.value.weight,weight,"(768, 768)",589824,7.531091341661522e-06,0.02836206555366516,0.0030193301470210986,0.3375113191898973,-0.21243880689144135,0.19330254197120667,9.460063665756024e-06,-0.0,-0.0,BERT
bert.encoder.layer.1.attention.self.value.bias,bias,"(768,)",768,-6.451155059039593e-06,0.04186837747693062,-2.469412387802643,32.00891119939685,-0.48009374737739563,0.25062963366508484,0.00010645553993526846,-0.0,-0.0,BERT
bert.encoder.layer.1.attention.output.dense.weight,weight,"(768, 768)",589824,2.9247037673485465e-05,0.027996761724352837,0.003723600027735051,2.0384564591061087,-0.31036683917045593,0.36133313179016113,1.048196827468928e-05,-0.0,-0.0,BERT
bert.encoder.layer.1.attention.output.dense.bias,bias,"(768,)",768,-0.0016362449387088418,0.06026547774672508,-0.5622783821075829,1.9677098821175463,-0.28799328207969666,0.23745602369308472,0.0038278379943221807,-0.0,-0.0,BERT
bert.encoder.layer.1.attention.output.LayerNorm.weight,weight,"(768,)",768,0.8757199645042419,0.08782358467578888,19.370836862953265,477.44900928910084,0.6561259627342224,3.039673328399658,0.8766100406646729,0.01435770557174226,0.01435770557174226,BERT
bert.encoder.layer.1.attention.output.LayerNorm.bias,bias,"(768,)",768,-0.017847595736384392,0.19339711964130402,-3.4924872802713938,36.56405463805607,-2.4617369174957275,0.5447827577590942,-0.006390723865479231,0.11527442078874642,0.11527442078874642,BERT
bert.encoder.layer.1.intermediate.dense.weight,weight,"(3072, 768)",2359296,9.166808740701526e-05,0.039232924580574036,0.02451480336771164,0.3198389796950867,-0.3104311525821686,0.5066133737564087,6.893388899698039e-07,9.58447763093408e-06,9.58447763093408e-06,BERT
bert.encoder.layer.1.intermediate.dense.bias,bias,"(3072,)",3072,-0.0930626317858696,0.06119387596845627,4.888350732539134,44.17357305096898,-0.31345391273498535,0.666210949420929,-0.10143885016441345,0.023284701731438092,0.023284701731438092,BERT
bert.encoder.layer.1.output.dense.weight,weight,"(768, 3072)",2359296,-5.8281078963773325e-05,0.03786979988217354,-0.5613335567932437,28.621938916580945,-2.152278423309326,1.1912109851837158,-5.9508161939447746e-05,0.00047239573089354715,0.00047239573089354715,BERT
bert.encoder.layer.1.output.dense.bias,bias,"(768,)",768,-0.001549174077808857,0.06053544580936432,-0.11365791304147871,2.001761205399478,-0.3047334551811218,0.2665557563304901,-0.002959837671369314,-0.0,-0.0,BERT
bert.encoder.layer.1.output.LayerNorm.weight,weight,"(768,)",768,0.8695150017738342,0.06900674104690552,-3.569560524707804,18.075646882445106,0.27711889147758484,0.9692972898483276,0.8852294683456421,0.046999447831427066,0.046999447831427066,BERT
bert.encoder.layer.1.output.LayerNorm.bias,bias,"(768,)",768,-0.03358715400099754,0.08621734380722046,0.027184495527361803,5.297043802188275,-0.6766107678413391,0.40521156787872314,-0.03736845403909683,0.01435770557174226,0.01435770557174226,BERT
bert.encoder.layer.2.attention.self.query.weight,weight,"(768, 768)",589824,4.474880552152172e-05,0.047746773809194565,-0.003976842263966304,1.8755083175989782,-0.5279706120491028,0.5189399719238281,4.3571111746132374e-05,0.0001014503464086185,0.0001014503464086185,BERT
bert.encoder.layer.2.attention.self.query.bias,bias,"(768,)",768,0.0004757494607474655,0.1295740157365799,-0.10739491367973915,2.7771466174600814,-0.8217566013336182,0.5042163133621216,-0.0017279444728046656,0.028712961978295287,0.028712961978295287,BERT
bert.encoder.layer.2.attention.self.key.weight,weight,"(768, 768)",589824,3.740529791684821e-05,0.04666316881775856,0.0164148237542984,1.933766259321117,-0.4561380445957184,0.458810418844223,5.465193680720404e-05,-0.0,-0.0,BERT
bert.encoder.layer.2.attention.self.key.bias,bias,"(768,)",768,-3.0277844416559674e-05,0.004199018236249685,0.11173445357381297,3.3912217272564646,-0.016030512750148773,0.027057601138949394,3.581132477847859e-05,-0.0,-0.0,BERT
bert.encoder.layer.2.attention.self.value.weight,weight,"(768, 768)",589824,-5.0793736591003835e-05,0.02790193445980549,0.0008916568733826552,0.3694148842958853,-0.18966488540172577,0.20732979476451874,-6.883607420604676e-05,-0.0,-0.0,BERT
bert.encoder.layer.2.attention.self.value.bias,bias,"(768,)",768,0.003811536356806755,0.057562485337257385,2.4185775837169925,25.119423298168712,-0.2831467390060425,0.6021373867988586,0.0008046916918829083,0.01435770557174226,0.01435770557174226,BERT
