section,layer,total_time_us,calls,avg_time_us,threads
pseudoEncodeBin,0,296525620.993,75356600,3.935,14681506867570268826;
SBMPCtxOptimizer_initStates,0,2839.200,82104,0.035,14681506867570268826;
pseudoEncodeWeightVal_pseudoEncodeBin_sigFlag,0,20973263.599,5330564,3.935,14681506867570268826;
SBMPCtx_initState,0,7074.000,240092,0.029,14681506867570268826;
ContextModeler_updateNeighborCtx,0,596768.800,21322256,0.028,14681506867570268826;
xShiftParameterIds_getBestIdx1,0,1890.500,7464,0.253,14681506867570268826;
SBMPCtxOptimizer_updateStates,0,3790597.902,75356600,0.050,14681506867570268826;
encodeBinEP,0,3.900,82,0.048,14681506867570268826;
xShiftParameterIds_encodeBin5,0,4717.400,6842,0.689,14681506867570268826;
xShiftParameterIds_initState1,0,1755.800,7464,0.235,14681506867570268826;
ContextModeler_resetNeighborCtx,0,50.000,1244,0.040,14681506867570268826;
ContextModeler_init,0,46.000,1244,0.037,14681506867570268826;
pseudoEncodeWeightVal,0,341468659.800,5330564,64.059,14681506867570268826;
encodeBinsEP,0,255543.400,2128530,0.120,14681506867570268826;
xEncWeightBase_updateHdspEnabled,0,2379442.700,10661128,0.223,14681506867570268826;
xShiftParameterIds_initState7,0,2152.300,9641,0.223,14681506867570268826;
iae_v,0,268.500,311,0.863,14681506867570268826;
SBMPCtxOptimizer_accumulateBits_loop,0,153338184.692,678209400,0.226,14681506867570268826;
xEncRowSkip_encodeBinEP,0,38.700,82,0.472,14681506867570268826;
SBMPCtx_getRLPS,0,3634187.802,180140349,0.020,14681506867570268826;
SBMPCtx_getMinusMPS,0,5067714.000,180140349,0.028,14681506867570268826;
SBMPCtx_updateState,0,5350794.898,180140349,0.030,14681506867570268826;
encodeBin,0,34093761.490,60046783,0.568,14681506867570268826;
xEncRowSkip_encodeBin,0,19734.400,31348,0.630,14681506867570268826;
write_out,0,96749.600,4009176,0.024,14681506867570268826;
xShiftParameterIds_encodeBinsEP7,0,464.500,1790,0.259,14681506867570268826;
encodeBin_write_out_IF,0,126545.600,1001375,0.126,14681506867570268826;
SBMPCtxOptimizer_accumulateBits,0,267391528.946,75356600,3.548,14681506867570268826;
xEncRowSkip,0,24793.200,82,302.356,14681506867570268826;
xShiftParameterIds_initState4,0,229.600,933,0.246,14681506867570268826;
xEncodeWeights_xEncRowSkip,0,24836.100,82,302.879,14681506867570268826;
SBMPCtxOptimizer_getBits,0,20050018.005,678209400,0.030,14681506867570268826;
pseudoEncodeRemAbsLevelNew_bin1_ELSE,0,619822.500,131958,4.697,14681506867570268826;
ContextModeler_updateHdspEnabled,0,594004.400,21322256,0.028,14681506867570268826;
ContextModeler_getSigCtxId,0,613104.700,21322256,0.029,14681506867570268826;
ContextModeler_getGtxCtxId,0,5056934.400,173431673,0.029,14681506867570268826;
xShiftParameterIds_encodeBinsEP4,0,121.100,444,0.273,14681506867570268826;
pseudoEncodeWeightVal_getGtxCtxId_WHILE,0,9319857.699,43714554,0.213,14681506867570268826;
ContextModeler_getSignFlagCtxId,0,608014.100,20760317,0.029,14681506867570268826;
pseudoEncodeWeightVal_pseudoEncodeBin_signFlag,0,20462311.399,5213366,3.925,14681506867570268826;
xShiftParameterIds_encodeBin4,0,686.800,933,0.736,14681506867570268826;
pseudoEncodeRemAbsLevelNew_bin0_FINAL,0,15867590.200,3443501,4.608,14681506867570268826;
pseudoEncodeWeightVal_pseudoEncodeBin_grXFlag_IF,0,20460249.699,5213366,3.925,14681506867570268826;
pseudoEncodeWeightVal_pseudoEncodeBin_grXFlag_WHILE,0,171255276.967,43714554,3.918,14681506867570268826;
xEncWeightBase_pseudoEncodeWeightVal,0,342474124.300,5330564,64.247,14681506867570268826;
xEncWeightBase_updateNeighborCtx,0,2423372.500,10661128,0.227,14681506867570268826;
xShiftParameterIds_encodeBin7,0,6661.300,9641,0.691,14681506867570268826;
pseudoEncodeRemAbsLevelNew_bin1_IF,0,15967530.200,3443501,4.637,14681506867570268826;
pseudoEncodeRemAbsLevelNew_bin1_WHILE,0,40620083.301,8865790,4.582,14681506867570268826;
xShiftParameterIds_initState5,0,1542.100,6842,0.225,14681506867570268826;
xEncWeight_encodeBin_signFlag,0,4250819.000,5182317,0.820,14681506867570268826;
xShiftParameterIds_encodeBin1,0,5678.100,7464,0.761,14681506867570268826;
pseudoEncodeRemAbsLevelNew,0,75948433.500,3575459,21.242,14681506867570268826;
xShiftParameterIds_encodeBinsEP5,0,1420.400,5572,0.255,14681506867570268826;
pseudoEncodeWeightVal_pseudoEncodeRemAbsLevelNew,0,76614858.200,3575459,21.428,14681506867570268826;
xEncodeWeightsBase,0,427790781.300,622,687766.529,14681506867570268826;
xEncodeWeights_xEncodeWeightsBase_pseudoEncode,0,347605152.400,311,1117701.455,14681506867570268826;
SBMPCtxOptimizer_getBestIdx,0,1059.300,24880,0.043,14681506867570268826;
xShiftParameterIds_encodeBinsEP1,0,1479.200,4151,0.356,14681506867570268826;
encodeBinsEP_write_out3,0,89416.300,705858,0.127,14681506867570268826;
encodeBin_write_out_ELSE,0,287926.200,2295355,0.125,14681506867570268826;
xShiftParameterIds_getBestIdx4,0,240.100,933,0.257,14681506867570268826;
xShiftParameterIds_getBestIdx5,0,1650.700,6842,0.241,14681506867570268826;
xShiftParameterIds_getBestIdx7,0,2403.500,9641,0.249,14681506867570268826;
xShiftParameterIds,0,50142.200,311,161.229,14681506867570268826;
xEncodeWeights_xShiftParameterIds,0,50243.300,311,161.554,14681506867570268826;
xEncodeWeights_resetNeighborCtx,0,138.400,311,0.445,14681506867570268826;
xEncRemAbs_encodeBinsEP,0,487194.000,2116262,0.230,14681506867570268826;
xEncWeight_getSignFlagCtxId,0,1553630.500,5182317,0.300,14681506867570268826;
xEncWeight_getGtxCtxId,0,1492309.700,5182317,0.288,14681506867570268826;
xEncWeight_encodeBin_grXFlagIF,0,4064591.400,5182317,0.784,14681506867570268826;
xEncWeight_getGtxCtxId_WHILE,0,10488474.199,36318934,0.289,14681506867570268826;
xEncWeight_encodeBin_grXFlagWHILE,0,22958502.100,36318934,0.632,14681506867570268826;
xEncWeight,0,74555447.900,5330564,13.986,14681506867570268826;
xEncWeightBase_xEncWeight,0,75093216.400,5330564,14.087,14681506867570268826;
xEncRemAbs_encodeBin_IF,0,1326503.900,2116262,0.627,14681506867570268826;
xEncRemAbs_encodeBin_WHILE,0,2291231.600,3552713,0.645,14681506867570268826;
xEncRemAbs_encodeBin_AFTER_WHILE,0,1767631.600,2116262,0.835,14681506867570268826;
xEncRemAbs,0,8337244.000,2307448,3.613,14681506867570268826;
xEncWeight_xEncRemAbs,0,8566196.300,2307448,3.712,14681506867570268826;
xEncRemAbs_encodeBin_ELSE,0,145985.500,191186,0.764,14681506867570268826;
encodeBinsEP_write_out1,0,828.300,6315,0.131,14681506867570268826;
xEncodeWeights_ActualEncode,0,80185869.900,311,257832.379,14681506867570268826;
xEncodeWeights,0,427866958.800,311,1375778.003,14681506867570268826;
encodeLayer,0,427868014.800,311,1375781.398,14681506867570268826;
terminateCabacEncoding,0,108.000,311,0.347,14681506867570268826;
